teacher_name,teacher_category,student_type,mismatch_level,best_T_raw,best_alpha_raw,student_ece,best_T_ts,best_alpha_ts,student_ts_ece,teacher_ece,student_accuracy,compression_ratio
AutoInt,Attention,Attention,0,2.783,0.1,0.0038341815657864107,2.783,0.1,0.003833939136676234,0.015467508256432345,0.8625243115979118,2.055620200139632
AutoInt,Attention,Hybrid,1,1.292,0.3,0.003485953823313131,1.292,0.3,0.0029690377522907925,0.014867190485546565,0.8602722898966118,1.1982635827172217
AutoInt,Attention,MLP,2,2.783,0.4,0.004118151580275165,1.668,0.6,0.0032514762158146844,0.014867190485546565,0.8607841130105436,0.48966128942846054
DCN,Hybrid,Hybrid,0,1.668,0.1,0.006692375898916433,1.0,0.2,0.006770887829219204,0.08660047087726482,0.8558706111167981,13.907752831852404
DCN,Hybrid,Attention,1,1.292,0.1,0.008952510863205452,1.668,0.1,0.007446133301969269,0.0714505067048828,0.8660047087726481,23.858738654875495
DCN,Hybrid,MLP,1,1.292,0.1,0.0068868091927679394,1.292,0.1,0.006498936007739534,0.0714505067048828,0.8581226328180981,5.683297300293808
DeepFM,Hybrid,Hybrid,0,1.292,0.1,0.0053178334946348774,1.292,0.1,0.004521725095456912,0.1078131398200769,0.858941549800389,13.860340500576545
DeepFM,Hybrid,Attention,1,1.292,0.1,0.006172925552258121,1.0,0.2,0.005305325563042538,0.1078131398200769,0.8620124884839799,23.77740283919013
DeepFM,Hybrid,MLP,1,1.0,0.3,0.005996893766658466,1.0,0.2,0.005642637291255633,0.1078131398200769,0.8591462790459617,5.6639226121181885
DeepMLP,MLP,MLP,0,1.0,0.1,0.004455720426545058,1.0,0.1,0.005483356480930855,0.03527773499995247,0.8609888422561163,54.83446975996452
DeepMLP,MLP,Hybrid,1,1.0,0.1,0.005530358641753967,1.0,0.1,0.005643564892353328,0.03527773499995247,0.8598628314054663,134.1869361730991
DeepMLP,MLP,Attention,2,1.292,0.1,0.006127780537881868,1.292,0.1,0.004746408776335027,0.042929847293347194,0.8622172177295526,230.19757970677216
FTTransformer,Attention,Attention,0,2.783,0.9,0.004283351540162796,5.995,0.8,0.0028054405441180685,0.0068665378467613674,0.8513665677141979,6.386083313939958
FTTransformer,Attention,Hybrid,1,2.783,0.1,0.003599448128581372,2.154,1.0,0.00329730265591458,0.016181460127260388,0.8582249974408844,3.7225802075561285
FTTransformer,Attention,MLP,2,1.0,0.5,0.0035454693574209373,1.0,0.5,0.003439886399564507,0.006483972684458043,0.8585320913092436,1.521204057874605
RegularizedMLP,MLP,MLP,0,1.0,0.1,0.005945618134817554,1.0,0.1,0.005509499456264036,0.04347791559426028,0.8605793837649708,7.520095348966129
RegularizedMLP,MLP,Hybrid,1,1.0,0.3,0.007229735632262587,1.0,0.2,0.006743691985564319,0.025279765469883437,0.8612959361244754,18.40263175744421
RegularizedMLP,MLP,Attention,2,1.0,0.1,0.005330099433748984,3.594,0.1,0.004920639144213808,0.025279765469883437,0.8625243115979118,31.569699790551546
StandardMLP,MLP,MLP,0,1.292,0.1,0.007231012636150996,3.594,0.1,0.005700152382988295,0.06056159855686345,0.8603746545193981,7.463329452852154
StandardMLP,MLP,Hybrid,1,1.0,0.1,0.005643870969053085,1.292,0.1,0.004197041859206011,0.0660273451173131,0.8585320913092436,18.26371837482195
StandardMLP,MLP,Attention,2,1.0,0.1,0.0066963020990132545,1.668,0.1,0.0033962644551974,0.06056159855686345,0.8643668748080663,31.33139399581103
TabTransformer,Attention,Attention,0,10.0,0.1,0.003005363483182887,10.0,0.1,0.003001997355256935,0.00799120871861353,0.8630361347118436,18.022108447754245
TabTransformer,Attention,Hybrid,1,5.995,0.3,0.004134372383133394,4.642,0.3,0.0030469658645093916,0.011243775052983537,0.8611935715016891,10.505460218408736
TabTransformer,Attention,MLP,2,2.783,0.1,0.0050872204084914515,5.995,0.4,0.003720948542403895,0.00799120871861353,0.8596581021598936,4.292976329064804
WideAndDeep,Hybrid,Hybrid,0,1.0,0.1,0.004204018537230828,1.0,0.2,0.0027845104825873113,0.016670287202264628,0.8594533729143208,13.756155463609849
WideAndDeep,Hybrid,Attention,1,1.668,0.2,0.004661230057895895,10.0,0.1,0.0037475403698388372,0.03575082938885149,0.8618077592384072,23.598673493134743
WideAndDeep,Hybrid,MLP,1,1.668,0.3,0.005173498078035173,5.995,0.3,0.003734377116248609,0.03575082938885149,0.8584297266864571,5.621348190032707
