Model,Category,Optimal T (mean+/-std),ECE Before,ECE After,ECE Reduction %,Accuracy
autoint,Attention,0.723 +/- 0.019,0.04108134612352593,0.02048146303009811,48.60431257932692,0.8615825570682774
dcn,Hybrid,0.727 +/- 0.011,0.03332522811732476,0.019313612007606066,41.796817309202126,0.858491145460129
deepfm,Hybrid,0.973 +/- 0.044,0.023546335345031373,0.030348548951531783,-43.85755727178326,0.8407001740198587
deepmlp,MLP,0.700 +/- 0.000,0.07060283506562734,0.02823598419398768,60.04601729641149,0.8569966219674481
fttransformer,Attention,0.756 +/- 0.007,0.02866373605639496,0.01812649221837441,36.81346203017725,0.861193571501689
regularizedmlp,MLP,0.724 +/- 0.018,0.04129495361783827,0.021047137602965425,48.96099585099421,0.8538642645101853
standardmlp,MLP,0.712 +/- 0.017,0.03607685082175553,0.01967789760731372,43.84198031501119,
tabtransformer,Attention,0.722 +/- 0.017,0.03750304065393821,0.019724269540158105,46.0239698654738,0.8580407411198688
widedeep,Hybrid,0.730 +/- 0.016,0.03169643282569996,0.017820319830715407,43.01713961390173,0.8607841130105436
